,Lithology_(main),Hydrocarbon_type_(main),Tectonic_regime,Structural_setting,Region,Permeability_(air_average_mD),Porosity_(matrix_average_%),Depth_(top_reservoir_ft_TVD),Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period
5103,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,161.0,26.25,1320.5,345.0,140.0,PALEOGENE
5104,DOLOMITE,OIL,STRIKE-SLIP,WRENCH,FAR EAST,5.3,15.0,15389.0,1152.0,101.5,PALEOGENE
5105,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,4350.0,41.5,1320.5,7000.0,71.5,CRETACEOUS
5106,LIMESTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,161.0,17.5,7513.5,345.0,71.5,TRIASSIC
5107,CHALKY LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,26.25,1320.5,676.9999999999999,11.5,DEVONIAN
5108,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,1.305,10.15,15389.0,345.0,337.5,CRETACEOUS
5109,SANDSTONE,OIL,COMPRESSION,THRUST,FAR EAST,850.0,22.75,5153.499999999999,245.0,48.25,NEOGENE
5110,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,AFRICA,4350.0,17.5,5153.499999999999,101.0,48.25,NEOGENE
5111,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,8763.5,46.5,11.5,NEOGENE
5112,DOLOMITE,GAS,COMPRESSION,FORELAND,FORMER SOVIET UNION,5.3,12.65,15389.0,475.0,205.0,CARBONIFEROUS
5113,CONGLOMERATE,OIL,INVERSION,RIFT,FAR EAST,361.0,17.5,4089.999999999999,101.0,11.5,NEOGENE
5114,SANDSTONE,OIL,COMPRESSION,SUB-THRUST,FAR EAST,35.0,15.0,2960.5,101.0,48.25,NEOGENE
5115,SANDSTONE,OIL,COMPRESSION,SALT,MIDDLE EAST,4350.0,41.5,5153.499999999999,245.0,140.0,PALEOGENE
5116,SANDSTONE,GAS-CONDENSATE,INVERSION,SUB-SALT,EUROPE,14.0,17.5,1320.5,7000.0,101.5,JURASSIC
5117,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,1320.5,245.0,71.5,PALEOGENE
5118,SANDSTONE,OIL,EXTENSION,SUB-SALT,AFRICA,4350.0,41.5,5153.499999999999,245.0,11.5,NEOGENE
5119,CONGLOMERATE,OIL,COMPRESSION,THRUST,LATIN AMERICA,75.0,12.65,1320.5,245.0,101.5,CRETACEOUS
5120,SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,161.0,12.65,10170.0,245.0,48.25,NEOGENE
5121,CHALK,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,15.0,7513.5,1152.0,101.5,JURASSIC
5122,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,5.3,10.15,5153.499999999999,245.0,48.25,PALEOGENE
5123,CHALK,OIL,GRAVITY,SALT,LATIN AMERICA,1.305,22.75,10170.0,676.9999999999999,1700.5,PALEOGENE
5124,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,12.65,6288.5,160.0,101.5,CRETACEOUS
5125,LOW-RESISTIVITY SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,14.0,12.65,15389.0,245.0,11.5,PROTEROZOIC
5126,CONGLOMERATE,OIL,EXTENSION,RIFT,NORTH AMERICA,161.0,10.15,6288.5,46.5,48.25,JURASSIC
5127,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,12.65,2960.5,7000.0,205.0,DEVONIAN
5128,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,LATIN AMERICA,4350.0,26.25,7513.5,245.0,71.5,CRETACEOUS
5129,DOLOMITE,OIL,EXTENSION,RIFT,EUROPE,14.0,5.05,8763.5,46.5,11.5,CRETACEOUS
5130,DOLOMITE,GAS,COMPRESSION,WRENCH,NORTH AMERICA,361.0,10.15,8763.5,7000.0,140.0,NEOGENE
5131,SANDSTONE,OIL,EXTENSION,SUB-SALT,AFRICA,75.0,17.5,8763.5,245.0,337.5,CRETACEOUS
5132,LIMESTONE,OIL,INVERSION,INVERSION,EUROPE,14.0,17.5,2960.5,160.0,140.0,CRETACEOUS
5133,DOLOMITIC LIMESTONE,GAS-CONDENSATE,COMPRESSION,SALT,MIDDLE EAST,1.305,10.15,4089.999999999999,475.0,205.0,PERMIAN
5134,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,6288.5,46.5,29.75,CRETACEOUS
5135,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,12.65,6288.5,160.0,48.25,JURASSIC
5136,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,20.0,6288.5,46.5,11.5,CAMBRIAN
5137,SANDSTONE,GAS,COMPRESSION,FORELAND,MIDDLE EAST,161.0,17.5,2960.5,345.0,140.0,JURASSIC
5138,CONGLOMERATE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,161.0,10.15,7513.5,46.5,29.75,CAMBRIAN
5139,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,LATIN AMERICA,4350.0,41.5,1320.5,46.5,29.75,PALEOGENE
5140,SANDSTONE,OIL,INVERSION,SALT,EUROPE,161.0,22.75,6288.5,475.0,205.0,TRIASSIC
5141,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,850.0,20.0,6288.5,1152.0,71.5,CRETACEOUS
5142,LIMESTONE,OIL,COMPRESSION,SALT,MIDDLE EAST,75.0,15.0,8763.5,245.0,140.0,CRETACEOUS
5143,LIMESTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,161.0,20.0,10170.0,46.5,11.5,CARBONIFEROUS
5144,SANDSTONE,GAS,COMPRESSION,FORELAND,MIDDLE EAST,361.0,15.0,4089.999999999999,245.0,140.0,CRETACEOUS
5145,SANDSTONE,OIL,GRAVITY,SALT,MIDDLE EAST,850.0,41.5,5153.499999999999,245.0,337.5,CAMBRIAN
5146,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,17.5,5153.499999999999,676.9999999999999,1700.5,PERMIAN
5147,SANDSTONE,OIL,GRAVITY,SALT,NORTH AMERICA,850.0,26.25,15389.0,475.0,101.5,PALEOGENE
5148,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,161.0,17.5,2960.5,101.0,29.75,PROTEROZOIC
5149,DOLOMITE,OIL,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,14.0,5.05,7513.5,475.0,205.0,DEVONIAN
5150,SANDSTONE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,1.305,5.05,5153.499999999999,345.0,140.0,DEVONIAN
5151,DOLOMITE,OIL,COMPRESSION,THRUST,LATIN AMERICA,5.3,5.05,2960.5,7000.0,1700.5,NEOGENE
5152,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,35.0,15.0,8763.5,1152.0,205.0,JURASSIC
5153,SANDSTONE,OIL,COMPRESSION,THRUST,MIDDLE EAST,850.0,17.5,10170.0,245.0,48.25,CRETACEOUS
5154,LIMESTONE,OIL,COMPRESSION,THRUST,FAR EAST,850.0,26.25,6288.5,1152.0,1700.5,PALEOGENE
5155,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,161.0,26.25,2960.5,46.5,11.5,NEOGENE
5156,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,26.25,2960.5,101.0,48.25,CARBONIFEROUS
5157,LIMESTONE,OIL,EXTENSION,RIFT,AFRICA,35.0,12.65,2960.5,345.0,29.75,CRETACEOUS
5158,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,26.25,2960.5,345.0,337.5,JURASSIC
5159,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,35.0,17.5,8763.5,7000.0,337.5,CRETACEOUS
5160,SANDSTONE,OIL,COMPRESSION,THRUST,FAR EAST,4350.0,41.5,1320.5,7000.0,1700.5,NEOGENE
5161,SILTSTONE,OIL,COMPRESSION,THRUST,FAR EAST,850.0,22.75,5153.499999999999,245.0,48.25,NEOGENE
5162,SANDSTONE,GAS-CONDENSATE,EXTENSION,RIFT,FAR EAST,35.0,20.0,7513.5,245.0,29.75,PALEOGENE
5163,DOLOMITE,GAS,TRANSPRESSION,PASSIVE MARGIN,FORMER SOVIET UNION,75.0,17.5,1320.5,475.0,205.0,DEVONIAN
5164,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,41.5,5153.499999999999,345.0,48.25,CRETACEOUS
5165,SANDSTONE,OIL,GRAVITY,SALT,EUROPE,5.3,15.0,4089.999999999999,475.0,205.0,JURASSIC
5166,DOLOMITIC LIMESTONE,GAS,EXTENSION,RIFT,LATIN AMERICA,850.0,26.25,8763.5,7000.0,140.0,PALEOGENE
5167,SANDSTONE,OIL,INVERSION,INVERSION,AFRICA,161.0,22.75,1320.5,676.9999999999999,1700.5,CRETACEOUS
5168,CHALK,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,41.5,8763.5,7000.0,1700.5,PERMIAN
5169,LIMESTONE,OIL,EXTENSION,RIFT,FAR EAST,1.305,5.05,1320.5,160.0,140.0,PROTEROZOIC
5170,THINLY-BEDDED SANDSTONE,OIL,GRAVITY,DELTA,FAR EAST,4350.0,41.5,7513.5,676.9999999999999,140.0,PALEOGENE
5171,LIMESTONE,GAS-CONDENSATE,GRAVITY,SALT,LATIN AMERICA,35.0,17.5,2960.5,160.0,140.0,PALEOGENE
5172,LOW-RESISTIVITY SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,FAR EAST,361.0,26.25,5153.499999999999,101.0,71.5,NEOGENE
5173,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,22.75,2960.5,101.0,71.5,CARBONIFEROUS
5174,SANDSTONE,GAS,GRAVITY,PASSIVE MARGIN,NORTH AMERICA,850.0,26.25,7513.5,7000.0,1700.5,JURASSIC
5175,DOLOMITE,OIL,EXTENSION,RIFT,AFRICA,361.0,10.15,6288.5,101.0,71.5,CRETACEOUS
5176,SANDSTONE,GAS,UPLIFT,INTRACRATONIC,NORTH AMERICA,1.305,5.05,6288.5,101.0,11.5,CARBONIFEROUS
5177,LOW-RESISTIVITY SANDSTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,850.0,22.75,5153.499999999999,1152.0,337.5,CRETACEOUS
5178,SANDSTONE,GAS,COMPRESSION,SALT,MIDDLE EAST,161.0,12.65,15389.0,345.0,337.5,CRETACEOUS
5179,SANDSTONE,GAS-CONDENSATE,EXTENSION,RIFT,FAR EAST,161.0,17.5,15389.0,475.0,337.5,PALEOGENE
5180,SANDSTONE,OIL,EXTENSION,RIFT,LATIN AMERICA,361.0,15.0,8763.5,345.0,29.75,NEOGENE
5181,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,15.0,7513.5,160.0,71.5,CARBONIFEROUS
5182,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,850.0,17.5,10170.0,1152.0,140.0,TRIASSIC
5183,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,LATIN AMERICA,4350.0,41.5,1320.5,245.0,140.0,NEOGENE
5184,SANDSTONE,BITUMEN,EXTENSION,INTRACRATONIC,EUROPE,75.0,12.65,10170.0,160.0,71.5,PERMIAN
5185,LIMESTONE,OIL,EXTENSION,RIFT,FAR EAST,14.0,22.75,5153.499999999999,245.0,48.25,JURASSIC
5186,SANDSTONE,OIL,COMPRESSION,FORELAND,FORMER SOVIET UNION,161.0,12.65,4089.999999999999,245.0,11.5,CRETACEOUS
5187,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,12.65,2960.5,475.0,337.5,CRETACEOUS
5188,SANDSTONE,GAS-CONDENSATE,EXTENSION,RIFT,EUROPE,35.0,10.15,8763.5,475.0,101.5,JURASSIC
5189,SANDSTONE,GAS,COMPRESSION,THRUST,NORTH AMERICA,850.0,22.75,6288.5,245.0,205.0,CRETACEOUS
5190,DOLOMITIC LIMESTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,14.0,5.05,7513.5,46.5,29.75,DEVONIAN
5191,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,850.0,17.5,1320.5,101.0,29.75,NEOGENE
5192,DOLOMITE,OIL,TRANSPRESSION,PASSIVE MARGIN,FORMER SOVIET UNION,75.0,10.15,4089.999999999999,7000.0,337.5,PROTEROZOIC
5193,LOW-RESISTIVITY SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,75.0,20.0,5153.499999999999,160.0,140.0,PALEOGENE
5194,DOLOMITE,OIL,EXTENSION,RIFT,LATIN AMERICA,4350.0,12.65,7513.5,245.0,140.0,PALEOGENE
5195,SILTSTONE,GAS-CONDENSATE,EXTENSION,RIFT,FAR EAST,850.0,22.75,5153.499999999999,101.0,11.5,PALEOGENE
5196,LIMESTONE,OIL,INVERSION,INVERSION,FAR EAST,850.0,26.25,8763.5,160.0,11.5,NEOGENE
5197,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,361.0,22.75,7513.5,676.9999999999999,140.0,NEOGENE
5198,LIMESTONE,OIL,EXTENSION,RIFT,NORTH AMERICA,75.0,15.0,15389.0,101.0,71.5,SILURIAN
5199,SANDSTONE,OIL,GRAVITY,DELTA,FAR EAST,35.0,15.0,5153.499999999999,7000.0,337.5,NEOGENE
5200,SANDSTONE,GAS,EXTENSION,RIFT,EUROPE,75.0,12.65,15389.0,475.0,205.0,TRIASSIC
5201,LIMESTONE,OIL,INVERSION,BACKARC,FAR EAST,35.0,5.05,2960.5,676.9999999999999,101.5,PALEOGENE
5202,SANDSTONE,GAS,COMPRESSION,FORELAND,FORMER SOVIET UNION,75.0,26.25,10170.0,160.0,48.25,NEOGENE
5203,SANDSTONE,OIL,TRANSPRESSION,PASSIVE MARGIN,FORMER SOVIET UNION,161.0,17.5,1320.5,160.0,71.5,DEVONIAN
5204,SANDSTONE,OIL,INVERSION,SALT,EUROPE,361.0,26.25,15389.0,475.0,140.0,PERMIAN
5205,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,41.5,1320.5,160.0,48.25,CARBONIFEROUS
5206,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,14.0,10.15,5153.499999999999,160.0,71.5,PALEOGENE
5207,LIMESTONE,GAS,GRAVITY,SUB-SALT,NORTH AMERICA,35.0,22.75,10170.0,1152.0,29.75,PERMIAN
5208,THINLY-BEDDED SANDSTONE,OIL,INVERSION,RIFT,FAR EAST,4350.0,26.25,10170.0,7000.0,1700.5,PALEOGENE
5209,SANDSTONE,OIL,COMPRESSION,FORELAND,FAR EAST,35.0,20.0,5153.499999999999,1152.0,1700.5,PALEOGENE
5210,CHALKY LIMESTONE,OIL,INVERSION,RIFT,FAR EAST,14.0,12.65,5153.499999999999,7000.0,71.5,NEOGENE
5211,LIMESTONE,GAS,EXTENSION,RIFT,EUROPE,75.0,22.75,2960.5,676.9999999999999,337.5,TRIASSIC
5212,SANDSTONE,GAS-CONDENSATE,COMPRESSION,WRENCH,LATIN AMERICA,850.0,22.75,2960.5,7000.0,1700.5,PALEOGENE
5213,SHALY SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,41.5,2960.5,46.5,11.5,PERMIAN
5214,DOLOMITE,GAS,COMPRESSION,INTRACRATONIC,NORTH AMERICA,5.3,5.05,15389.0,676.9999999999999,337.5,CARBONIFEROUS
5215,SANDSTONE,GAS,EXTENSION,RIFT,FAR EAST,75.0,12.65,15389.0,7000.0,205.0,PALEOGENE
5216,SANDSTONE,GAS-CONDENSATE,INVERSION,INVERSION,FAR EAST,161.0,20.0,6288.5,1152.0,1700.5,NEOGENE
5217,SANDSTONE,GAS,COMPRESSION,SUB-SALT,AFRICA,361.0,17.5,8763.5,46.5,48.25,NEOGENE
5218,LOW-RESISTIVITY SANDSTONE,CARBON DIOXIDE,COMPRESSION,FORELAND,FAR EAST,14.0,12.65,15389.0,101.0,11.5,CRETACEOUS
5219,SANDSTONE,OIL,EXTENSION,RIFT,AFRICA,5.3,20.0,8763.5,101.0,71.5,NEOGENE
5220,LIMESTONE,OIL,INVERSION,RIFT,AFRICA,35.0,12.65,5153.499999999999,1152.0,337.5,CAMBRIAN
5221,SANDSTONE,OIL,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,361.0,17.5,8763.5,160.0,11.5,CARBONIFEROUS
5222,CHALKY LIMESTONE,OIL,EXTENSION,INTRACRATONIC,EUROPE,35.0,26.25,5153.499999999999,676.9999999999999,101.5,CRETACEOUS
5223,CHALKY LIMESTONE,OIL,TRANSTENSION,WRENCH,FAR EAST,5.3,20.0,10170.0,1152.0,205.0,NEOGENE
5224,LIMESTONE,OIL,STRIKE-SLIP,WRENCH,FAR EAST,1.305,12.65,2960.5,1152.0,337.5,PROTEROZOIC
5225,SANDSTONE,OIL,INVERSION,RIFT,EUROPE,850.0,17.5,8763.5,475.0,337.5,JURASSIC
5226,SANDSTONE,OIL,INVERSION,SALT,EUROPE,75.0,26.25,15389.0,475.0,29.75,JURASSIC
5227,DOLOMITIC LIMESTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,FAR EAST,161.0,17.5,1320.5,160.0,11.5,CARBONIFEROUS
5228,SANDSTONE,OIL,INVERSION,INVERSION,FAR EAST,850.0,26.25,1320.5,676.9999999999999,71.5,NEOGENE
5229,LIMESTONE,GAS-CONDENSATE,INVERSION,SALT,EUROPE,1.305,12.65,7513.5,160.0,29.75,JURASSIC
5230,THINLY-BEDDED SANDSTONE,GAS,COMPRESSION,SUB-THRUST,NORTH AMERICA,361.0,41.5,6288.5,1152.0,140.0,CARBONIFEROUS
5231,SANDSTONE,OIL,COMPRESSION,FORELAND,FAR EAST,161.0,26.25,2960.5,1152.0,1700.5,NEOGENE
5232,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,6288.5,101.0,11.5,CARBONIFEROUS
5233,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,850.0,26.25,5153.499999999999,101.0,11.5,CRETACEOUS
5234,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,850.0,41.5,2960.5,475.0,101.5,CRETACEOUS
5235,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,1.305,5.05,6288.5,345.0,71.5,DEVONIAN
5236,SANDSTONE,GAS,INVERSION,RIFT,FAR EAST,850.0,22.75,5153.499999999999,676.9999999999999,337.5,NEOGENE
5237,SANDSTONE,GAS,EXTENSION,BACKARC,FAR EAST,1.305,17.5,2960.5,7000.0,1700.5,PROTEROZOIC
5238,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,15.0,7513.5,160.0,48.25,DEVONIAN
5239,LIMESTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,26.25,6288.5,676.9999999999999,205.0,NEOGENE
5240,DOLOMITE,OIL,EXTENSION,SUB-SALT,AFRICA,14.0,12.65,7513.5,101.0,48.25,PALEOGENE
5241,CHALKY LIMESTONE,OIL,EXTENSION,RIFT,AFRICA,5.3,26.25,6288.5,46.5,48.25,CRETACEOUS
5242,SANDSTONE,OIL,INVERSION,INVERSION,FORMER SOVIET UNION,35.0,15.0,6288.5,245.0,205.0,CRETACEOUS
5243,DOLOMITE,GAS,COMPRESSION,FORELAND,NORTH AMERICA,5.3,15.0,1320.5,245.0,140.0,CRETACEOUS
5244,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,MIDDLE EAST,5.3,12.65,8763.5,46.5,29.75,PALEOGENE
5245,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,10.15,2960.5,245.0,205.0,CARBONIFEROUS
5246,SILTSTONE,OIL,GRAVITY,SALT,NORTH AMERICA,14.0,10.15,2960.5,160.0,48.25,SILURIAN
5247,DOLOMITE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,75.0,10.15,15389.0,1152.0,101.5,CARBONIFEROUS
5248,SANDSTONE,OIL,COMPRESSION,THRUST,LATIN AMERICA,35.0,17.5,7513.5,345.0,205.0,NEOGENE
5249,SILTSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,14.0,10.15,10170.0,46.5,48.25,PERMIAN
5250,SANDSTONE,OIL,INVERSION,SALT,EUROPE,850.0,41.5,4089.999999999999,475.0,101.5,JURASSIC
5251,BASEMENT,OIL,COMPRESSION,FORELAND,NORTH AMERICA,75.0,5.05,7513.5,676.9999999999999,205.0,CRETACEOUS
5252,SANDSTONE,GAS,GRAVITY,DELTA,NORTH AMERICA,1.305,5.05,1320.5,345.0,337.5,PERMIAN
5253,SANDSTONE,GAS,INVERSION,INVERSION,FAR EAST,14.0,15.0,15389.0,345.0,11.5,NEOGENE
5254,SANDSTONE,OIL,COMPRESSION,WRENCH,NORTH AMERICA,161.0,22.75,2960.5,676.9999999999999,337.5,PERMIAN
5255,SANDSTONE,OIL,COMPRESSION,INTRACRATONIC,NORTH AMERICA,75.0,20.0,7513.5,160.0,11.5,PERMIAN
5256,SANDSTONE,OIL,GRAVITY,SUB-SALT,NORTH AMERICA,5.3,10.15,15389.0,46.5,29.75,NEOGENE
5257,SANDSTONE,GAS,COMPRESSION,SUB-THRUST,NORTH AMERICA,1.305,12.65,2960.5,7000.0,1700.5,NEOGENE
5258,SHALY SANDSTONE,OIL,INVERSION,RIFT,FAR EAST,161.0,41.5,4089.999999999999,245.0,71.5,PROTEROZOIC
5259,SANDSTONE,GAS,EXTENSION,RIFT,FAR EAST,850.0,12.65,15389.0,676.9999999999999,1700.5,PALEOGENE
5260,SANDSTONE,OIL,COMPRESSION,THRUST,FORMER SOVIET UNION,35.0,10.15,15389.0,7000.0,140.0,NEOGENE
5261,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,5.3,5.05,15389.0,7000.0,1700.5,CRETACEOUS
5262,SANDSTONE,OIL,GRAVITY,DELTA,NORTH AMERICA,14.0,22.75,1320.5,676.9999999999999,205.0,CARBONIFEROUS
5263,LIMESTONE,OIL,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,35.0,41.5,4089.999999999999,1152.0,48.25,NEOGENE
5264,LIMESTONE,OIL,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,75.0,15.0,6288.5,345.0,337.5,DEVONIAN
5265,SANDSTONE,OIL,COMPRESSION,FORELAND,MIDDLE EAST,850.0,22.75,4089.999999999999,676.9999999999999,140.0,PERMIAN
5266,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,4350.0,41.5,2960.5,1152.0,1700.5,CRETACEOUS
5267,SANDSTONE,OIL,COMPRESSION,THRUST,FAR EAST,1.305,10.15,15389.0,676.9999999999999,1700.5,PALEOGENE
5268,SANDSTONE,GAS,COMPRESSION,THRUST,FAR EAST,75.0,22.75,5153.499999999999,345.0,48.25,CRETACEOUS
5269,SANDSTONE,OIL,EVAPORITE,PASSIVE MARGIN,AFRICA,850.0,41.5,7513.5,676.9999999999999,1700.5,NEOGENE
5270,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,35.0,12.65,15389.0,475.0,29.75,PALEOGENE
5271,SANDSTONE,OIL,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,161.0,22.75,5153.499999999999,160.0,140.0,PROTEROZOIC
5272,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,17.5,2960.5,101.0,48.25,CRETACEOUS
5273,SANDSTONE,GAS,COMPRESSION,THRUST,LATIN AMERICA,1.305,10.15,8763.5,676.9999999999999,101.5,PALEOGENE
5274,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,361.0,41.5,4089.999999999999,101.0,11.5,CARBONIFEROUS
5275,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,NORTH AMERICA,161.0,17.5,8763.5,676.9999999999999,140.0,CRETACEOUS
5276,SHALY SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,850.0,41.5,5153.499999999999,46.5,29.75,DEVONIAN
5277,SANDSTONE,GAS,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,361.0,17.5,4089.999999999999,676.9999999999999,101.5,CRETACEOUS
5278,SANDSTONE,OIL,INVERSION,SALT,EUROPE,850.0,17.5,10170.0,475.0,101.5,JURASSIC
5279,SANDSTONE,OIL,EXTENSION,RIFT,EUROPE,161.0,10.15,8763.5,245.0,11.5,JURASSIC
5280,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,161.0,17.5,10170.0,676.9999999999999,1700.5,NEOGENE
5281,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,14.0,22.75,2960.5,345.0,337.5,DEVONIAN
5282,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,4350.0,26.25,2960.5,101.0,71.5,DEVONIAN
5283,SANDSTONE,OIL,INVERSION,SUB-SALT,EUROPE,4350.0,41.5,5153.499999999999,101.0,71.5,PERMIAN
5284,SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,15.0,15389.0,101.0,29.75,PERMIAN
5285,THINLY-BEDDED SANDSTONE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,361.0,20.0,8763.5,7000.0,71.5,CARBONIFEROUS
5286,SANDSTONE,OIL,COMPRESSION,THRUST,NORTH AMERICA,14.0,17.5,4089.999999999999,7000.0,1700.5,CARBONIFEROUS
5287,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,17.5,4089.999999999999,101.0,71.5,JURASSIC
5288,SANDSTONE,OIL,EXTENSION,RIFT,FAR EAST,4350.0,26.25,4089.999999999999,475.0,101.5,NEOGENE
5289,DOLOMITE,OIL,EXTENSION,RIFT,AFRICA,35.0,15.0,7513.5,160.0,71.5,CRETACEOUS
5290,CHALKY LIMESTONE,GAS,INVERSION,SUB-SALT,EUROPE,75.0,22.75,6288.5,245.0,205.0,JURASSIC
5291,DOLOMITE,OIL,COMPRESSION,FORELAND,NORTH AMERICA,35.0,17.5,4089.999999999999,245.0,140.0,JURASSIC
5292,SANDSTONE,GAS,COMPRESSION,THRUST,FAR EAST,75.0,26.25,8763.5,245.0,71.5,NEOGENE
5293,SANDSTONE,OIL,INVERSION,FORELAND,NORTH AMERICA,161.0,10.15,7513.5,160.0,11.5,JURASSIC
5294,SANDSTONE,GAS-CONDENSATE,COMPRESSION,FORELAND,NORTH AMERICA,5.3,17.5,7513.5,345.0,101.5,CRETACEOUS
5295,SANDSTONE,GAS-CONDENSATE,EXTENSION,SUB-SALT,AFRICA,361.0,20.0,4089.999999999999,160.0,140.0,CRETACEOUS
5296,SANDSTONE,OIL,UPLIFT,INTRACRATONIC,NORTH AMERICA,161.0,10.15,8763.5,46.5,29.75,CARBONIFEROUS
5297,LIMESTONE,CARBON DIOXIDE,COMPRESSION,THRUST,FORMER SOVIET UNION,35.0,15.0,10170.0,46.5,29.75,PROTEROZOIC
5298,LIMESTONE,GAS,EXTENSION,RIFT,FAR EAST,5.3,5.05,4089.999999999999,245.0,48.25,NEOGENE
5299,SANDSTONE,OIL,INVERSION,BACKARC,FAR EAST,850.0,26.25,2960.5,475.0,29.75,CRETACEOUS
5300,SANDSTONE,OIL,STRIKE-SLIP,WRENCH,AFRICA,4350.0,41.5,1320.5,245.0,205.0,PALEOZOIC
