,Hydrocarbon_type_(main),Depth_(top_reservoir_ft_TVD),Tectonic_regime,Structural_setting,Region,Thickness_(gross_average_ft),Thickness_(net_pay_average_ft),Reservoir_period,Lithology_(main),Permeability_(air_average_mD),Porosity_(matrix_average_%)
4024,GAS,15389.0,COMPRESSION,THRUST,FORMER SOVIET UNION,245.0,11.5,NEOGENE,SANDSTONE,1.305,5.05
4025,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,101.0,29.75,CRETACEOUS,LIMESTONE,35.0,22.75
4026,OIL,1320.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,46.5,11.5,CRETACEOUS,SANDSTONE,75.0,17.5
4027,OIL,2960.5,COMPRESSION,SALT,MIDDLE EAST,245.0,140.0,JURASSIC,DOLOMITE,5.3,10.15
4028,OIL,6288.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,1152.0,71.5,CARBONIFEROUS,LIMESTONE,14.0,20.0
4029,OIL,1320.5,COMPRESSION,WRENCH,FORMER SOVIET UNION,1152.0,1700.5,CRETACEOUS,SANDSTONE,361.0,22.75
4030,OIL,4089.999999999999,EXTENSION,RIFT,FAR EAST,160.0,11.5,CRETACEOUS,GLAUCONITIC SANDSTONE,850.0,26.25
4031,OIL,5153.499999999999,EXTENSION,RIFT,EUROPE,1152.0,71.5,JURASSIC,SANDSTONE,1.305,5.05
4032,OIL,15389.0,EXTENSION,PASSIVE MARGIN,LATIN AMERICA,245.0,71.5,CRETACEOUS,LIMESTONE,161.0,12.65
4033,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,CRETACEOUS,LIMESTONE,14.0,17.5
4034,GAS,10170.0,GRAVITY,DELTA,NORTH AMERICA,475.0,11.5,PALEOGENE,SANDSTONE,361.0,20.0
4035,OIL,10170.0,COMPRESSION,INTRACRATONIC,NORTH AMERICA,1152.0,205.0,CARBONIFEROUS,LIMESTONE,850.0,17.5
4036,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,DEVONIAN,DOLOMITE,14.0,12.65
4037,OIL,5153.499999999999,COMPRESSION,THRUST,FAR EAST,1152.0,337.5,NEOGENE,LOW-RESISTIVITY SANDSTONE,361.0,41.5
4038,GAS,15389.0,GRAVITY,SUB-SALT,NORTH AMERICA,676.9999999999999,337.5,JURASSIC,SANDSTONE,5.3,26.25
4039,GAS-CONDENSATE,15389.0,STRIKE-SLIP,THRUST,LATIN AMERICA,345.0,101.5,PALEOGENE,SANDSTONE,850.0,26.25
4040,OIL,8763.5,GRAVITY,SALT,MIDDLE EAST,245.0,140.0,CRETACEOUS,SANDSTONE,161.0,10.15
4041,GAS-CONDENSATE,7513.5,STRIKE-SLIP,WRENCH,AFRICA,245.0,205.0,NEOGENE,THINLY-BEDDED SANDSTONE,850.0,17.5
4042,OIL,5153.499999999999,COMPRESSION,SUB-THRUST,NORTH AMERICA,160.0,11.5,CARBONIFEROUS,DOLOMITE,14.0,12.65
4043,GAS-CONDENSATE,15389.0,GRAVITY,DELTA,NORTH AMERICA,7000.0,1700.5,PALEOGENE,SANDSTONE,75.0,10.15
4044,OIL,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,160.0,71.5,PERMIAN,DOLOMITE,14.0,26.25
4045,GAS-CONDENSATE,7513.5,GRAVITY,DELTA,NORTH AMERICA,101.0,11.5,PALEOGENE,SANDSTONE,850.0,12.65
4046,OIL,8763.5,COMPRESSION,THRUST,NORTH AMERICA,475.0,337.5,CARBONIFEROUS,CONGLOMERATE,75.0,10.15
4047,GAS,15389.0,GRAVITY,DELTA,NORTH AMERICA,475.0,11.5,PALEOGENE,SANDSTONE,361.0,17.5
4048,GAS,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,345.0,337.5,CRETACEOUS,LIMESTONE,161.0,10.15
4049,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,CRETACEOUS,SANDSTONE,161.0,15.0
4050,OIL,1320.5,STRIKE-SLIP,BACKARC,FAR EAST,676.9999999999999,1700.5,NEOGENE,SANDSTONE,361.0,17.5
4051,OIL,10170.0,GRAVITY,DELTA,NORTH AMERICA,245.0,140.0,NEOGENE,LOW-RESISTIVITY SANDSTONE,361.0,20.0
4052,OIL,7513.5,INVERSION,INVERSION,FAR EAST,1152.0,1700.5,CRETACEOUS,SANDSTONE,361.0,26.25
4053,OIL,4089.999999999999,COMPRESSION,THRUST,FAR EAST,7000.0,1700.5,NEOGENE,SANDSTONE,35.0,10.15
4054,OIL,7513.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,160.0,29.75,CARBONIFEROUS,SANDSTONE,850.0,41.5
4055,OIL,6288.5,INVERSION,SALT,EUROPE,475.0,101.5,CRETACEOUS,SANDSTONE,161.0,12.65
4056,OIL,1320.5,GRAVITY,INTRACRATONIC,NORTH AMERICA,345.0,11.5,DEVONIAN,LIMESTONE,14.0,22.75
4057,OIL,7513.5,COMPRESSION,FORELAND,FAR EAST,475.0,205.0,JURASSIC,SANDSTONE,1.305,22.75
4058,OIL,2960.5,COMPRESSION,WRENCH,FORMER SOVIET UNION,46.5,11.5,CRETACEOUS,SANDSTONE,850.0,22.75
4059,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,CARBONIFEROUS,LIMESTONE,75.0,12.65
4060,OIL,15389.0,COMPRESSION,WRENCH,FORMER SOVIET UNION,46.5,29.75,CRETACEOUS,SANDSTONE,75.0,15.0
4061,OIL,1320.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,160.0,140.0,CARBONIFEROUS,DOLOMITE,35.0,20.0
4062,OIL,1320.5,COMPRESSION,INTRACRATONIC,FAR EAST,676.9999999999999,140.0,ORDOVICIAN,DOLOMITE,161.0,20.0
4063,GAS,15389.0,INVERSION,RIFT,AFRICA,7000.0,337.5,CRETACEOUS,CHALKY LIMESTONE,1.305,5.05
4064,OIL,7513.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,46.5,29.75,CARBONIFEROUS,LIMESTONE,14.0,10.15
4065,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,29.75,PERMIAN,DOLOMITE,35.0,17.5
4066,OIL,4089.999999999999,COMPRESSION,FORELAND,FAR EAST,1152.0,337.5,JURASSIC,SANDSTONE,161.0,22.75
4067,OIL,6288.5,INVERSION,BACKARC,FAR EAST,676.9999999999999,1700.5,NEOGENE,SANDSTONE,4350.0,41.5
4068,OIL,7513.5,GRAVITY,SALT,LATIN AMERICA,475.0,337.5,PALEOGENE,SANDSTONE,4350.0,22.75
4069,OIL,6288.5,INVERSION,INVERSION,FAR EAST,676.9999999999999,205.0,PALEOGENE,SANDSTONE,5.3,5.05
4070,OIL,1320.5,COMPRESSION,THRUST,NORTH AMERICA,160.0,71.5,SILURIAN,DOLOMITE,5.3,26.25
4071,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,71.5,DEVONIAN,DOLOMITE,14.0,12.65
4072,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,205.0,CARBONIFEROUS,SANDSTONE,361.0,17.5
4073,OIL,4089.999999999999,GRAVITY,PASSIVE MARGIN,AFRICA,475.0,337.5,CRETACEOUS,SANDSTONE,850.0,41.5
4074,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,7000.0,71.5,CRETACEOUS,SANDSTONE,35.0,17.5
4075,GAS-CONDENSATE,10170.0,GRAVITY,PASSIVE MARGIN,AFRICA,345.0,101.5,CRETACEOUS,SANDSTONE,4350.0,41.5
4076,GAS,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,71.5,CRETACEOUS,SANDSTONE,850.0,26.25
4077,GAS-CONDENSATE,15389.0,GRAVITY,SALT,MIDDLE EAST,101.0,48.25,CRETACEOUS,LIMESTONE,35.0,20.0
4078,GAS-CONDENSATE,15389.0,STRIKE-SLIP,WRENCH,FAR EAST,1152.0,1700.5,JURASSIC,SANDSTONE,4350.0,26.25
4079,OIL,5153.499999999999,COMPRESSION,FORELAND,MIDDLE EAST,101.0,71.5,CRETACEOUS,LIMESTONE,850.0,22.75
4080,OIL,2960.5,COMPRESSION,FORELAND,MIDDLE EAST,245.0,101.5,JURASSIC,LIMESTONE,161.0,26.25
4081,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,101.5,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,4350.0,41.5
4082,OIL,5153.499999999999,COMPRESSION,WRENCH,LATIN AMERICA,475.0,140.0,PALEOGENE,SANDSTONE,361.0,41.5
4083,OIL,8763.5,GRAVITY,SALT,NORTH AMERICA,345.0,205.0,CRETACEOUS,SANDSTONE,5.3,26.25
4084,OIL,8763.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,676.9999999999999,205.0,CARBONIFEROUS,DOLOMITE,5.3,10.15
4085,OIL,5153.499999999999,COMPRESSION,FORELAND,MIDDLE EAST,245.0,29.75,PALEOGENE,LIMESTONE,35.0,17.5
4086,OIL,7513.5,INVERSION,INVERSION,EUROPE,245.0,101.5,CRETACEOUS,SANDSTONE,361.0,12.65
4087,OIL,1320.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,475.0,140.0,CARBONIFEROUS,LIMESTONE,75.0,15.0
4088,GAS-CONDENSATE,15389.0,COMPRESSION,THRUST,NORTH AMERICA,46.5,11.5,CARBONIFEROUS,DOLOMITE,75.0,10.15
4089,OIL,1320.5,COMPRESSION,THRUST,LATIN AMERICA,7000.0,205.0,CRETACEOUS,LIMESTONE,75.0,12.65
4090,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,48.25,CRETACEOUS,SANDSTONE,35.0,22.75
4091,OIL,10170.0,EXTENSION,RIFT,FAR EAST,475.0,337.5,PALEOGENE,SANDSTONE,14.0,15.0
4092,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,48.25,JURASSIC,SANDSTONE,161.0,22.75
4093,GAS-CONDENSATE,15389.0,EXTENSION,RIFT,FAR EAST,245.0,29.75,PALEOGENE,SANDSTONE,4350.0,26.25
4094,OIL,2960.5,COMPRESSION,INTRACRATONIC,FAR EAST,7000.0,1700.5,JURASSIC,SANDSTONE,4350.0,41.5
4095,OIL,4089.999999999999,EVAPORITE,PASSIVE MARGIN,AFRICA,676.9999999999999,101.5,CRETACEOUS,SANDSTONE,4350.0,41.5
4096,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,29.75,DEVONIAN,DOLOMITE,14.0,17.5
4097,OIL,2960.5,INVERSION,RIFT,AFRICA,160.0,140.0,CRETACEOUS,SANDSTONE,1.305,12.65
4098,GAS,6288.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,7000.0,337.5,CARBONIFEROUS,LIMESTONE,35.0,15.0
4099,OIL,4089.999999999999,GRAVITY,DELTA,FAR EAST,245.0,140.0,NEOGENE,SANDSTONE,850.0,22.75
4100,OIL,7513.5,GRAVITY,SALT,MIDDLE EAST,245.0,205.0,PERMIAN,DOLOMITE,35.0,12.65
4101,OIL,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,345.0,140.0,CRETACEOUS,SANDSTONE,14.0,20.0
4102,OIL,5153.499999999999,EXTENSION,SUB-SALT,AFRICA,1152.0,101.5,PALEOZOIC,SANDSTONE,361.0,22.75
4103,GAS,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,48.25,CRETACEOUS,SANDSTONE,14.0,12.65
4104,OIL,5153.499999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,345.0,101.5,DEVONIAN,SANDSTONE,35.0,15.0
4105,OIL,1320.5,STRIKE-SLIP,WRENCH,LATIN AMERICA,7000.0,337.5,PALEOGENE,SANDSTONE,35.0,15.0
4106,GAS,10170.0,INVERSION,INVERSION,FORMER SOVIET UNION,245.0,205.0,JURASSIC,SANDSTONE,161.0,20.0
4107,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,205.0,DEVONIAN,SANDSTONE,35.0,15.0
4108,GAS-CONDENSATE,15389.0,GRAVITY,DELTA,AFRICA,101.0,48.25,NEOGENE,THINLY-BEDDED SANDSTONE,361.0,26.25
4109,OIL,5153.499999999999,INVERSION,INTRACRATONIC,FAR EAST,245.0,71.5,JURASSIC,SANDSTONE,4350.0,26.25
4110,GAS,6288.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,140.0,PERMIAN,DOLOMITE,1.305,12.65
4111,OIL,2960.5,STRIKE-SLIP,INTRACRATONIC,NORTH AMERICA,46.5,11.5,DEVONIAN,DOLOMITE,5.3,5.05
4112,GAS,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,475.0,205.0,DEVONIAN,LIMESTONE,4350.0,41.5
4113,GAS,10170.0,COMPRESSION,SUB-SALT,FORMER SOVIET UNION,46.5,11.5,CARBONIFEROUS,LIMESTONE,75.0,41.5
4114,OIL,5153.499999999999,EXTENSION,RIFT,EUROPE,345.0,140.0,TRIASSIC,DOLOMITE,5.3,17.5
4115,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,245.0,48.25,DEVONIAN,CHERT,5.3,10.15
4116,OIL,1320.5,EXTENSION,RIFT,FAR EAST,7000.0,205.0,NEOGENE,THINLY-BEDDED SANDSTONE,4350.0,26.25
4117,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,205.0,TRIASSIC,SANDSTONE,161.0,22.75
4118,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,475.0,337.5,DEVONIAN,LIMESTONE,35.0,12.65
4119,OIL,4089.999999999999,COMPRESSION,INTRACRATONIC,NORTH AMERICA,676.9999999999999,337.5,CARBONIFEROUS,SANDSTONE,4350.0,41.5
4120,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,11.5,PERMIAN,DOLOMITE,5.3,10.15
4121,OIL,1320.5,COMPRESSION,FORELAND,MIDDLE EAST,7000.0,337.5,CRETACEOUS,CHALKY LIMESTONE,1.305,5.05
4122,OIL,4089.999999999999,GRAVITY,SALT,EUROPE,475.0,337.5,CRETACEOUS,SANDSTONE,5.3,5.05
4123,GAS,7513.5,INVERSION,RIFT,FAR EAST,1152.0,101.5,PALEOGENE,SANDSTONE,361.0,17.5
4124,OIL,5153.499999999999,GRAVITY,DELTA,AFRICA,345.0,71.5,NEOGENE,SANDSTONE,361.0,41.5
4125,OIL,2960.5,INVERSION,RIFT,EUROPE,676.9999999999999,140.0,JURASSIC,SANDSTONE,850.0,41.5
4126,OIL,6288.5,EXTENSION,RIFT,NORTH AMERICA,46.5,11.5,CRETACEOUS,SANDSTONE,361.0,22.75
4127,OIL,2960.5,EXTENSION,SUB-SALT,AFRICA,676.9999999999999,140.0,CARBONIFEROUS,SANDSTONE,361.0,22.75
4128,OIL,1320.5,EXTENSION,RIFT,EUROPE,46.5,48.25,JURASSIC,SANDSTONE,14.0,12.65
4129,OIL,2960.5,EXTENSION,SUB-SALT,AFRICA,46.5,11.5,NEOGENE,SANDSTONE,75.0,20.0
4130,GAS-CONDENSATE,15389.0,EXTENSION,RIFT,EUROPE,46.5,48.25,JURASSIC,SANDSTONE,75.0,20.0
4131,OIL,1320.5,INVERSION,INVERSION,FAR EAST,475.0,140.0,NEOGENE,SANDSTONE,161.0,15.0
4132,OIL,7513.5,GRAVITY,SALT,MIDDLE EAST,7000.0,101.5,CRETACEOUS,LIMESTONE,35.0,12.65
4133,OIL,1320.5,EXTENSION,RIFT,EUROPE,475.0,101.5,JURASSIC,SANDSTONE,35.0,20.0
4134,OIL,1320.5,COMPRESSION,FORELAND,MIDDLE EAST,7000.0,1700.5,JURASSIC,LIMESTONE,850.0,22.75
4135,OIL,7513.5,EXTENSION,SUB-SALT,AFRICA,7000.0,71.5,PALEOZOIC,SANDSTONE,4350.0,17.5
4136,OIL,6288.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,245.0,101.5,CARBONIFEROUS,DOLOMITE,14.0,15.0
4137,OIL,7513.5,EXTENSION,PASSIVE MARGIN,FAR EAST,676.9999999999999,205.0,NEOGENE,SANDSTONE,850.0,17.5
4138,GAS-CONDENSATE,15389.0,STRIKE-SLIP,WRENCH,FAR EAST,676.9999999999999,337.5,NEOGENE,SANDSTONE,35.0,17.5
4139,OIL,6288.5,INVERSION,INVERSION,FAR EAST,475.0,205.0,NEOGENE,LIMESTONE,1.305,10.15
4140,GAS,8763.5,INVERSION,RIFT,AFRICA,46.5,29.75,CRETACEOUS,LIMESTONE,161.0,20.0
4141,GAS,1320.5,GRAVITY,DELTA,FAR EAST,7000.0,71.5,NEOGENE,SANDSTONE,850.0,26.25
4142,OIL,8763.5,GRAVITY,DELTA,AFRICA,7000.0,1700.5,NEOGENE,SANDSTONE,35.0,17.5
4143,OIL,6288.5,COMPRESSION,FORELAND,FORMER SOVIET UNION,7000.0,71.5,CARBONIFEROUS,LIMESTONE,35.0,15.0
4144,OIL,1320.5,GRAVITY,PASSIVE MARGIN,AFRICA,345.0,101.5,NEOGENE,SANDSTONE,161.0,17.5
4145,OIL,10170.0,INVERSION,RIFT,FAR EAST,245.0,205.0,ARCHEAN,BASEMENT,5.3,5.05
4146,OIL,2960.5,GRAVITY,SALT,LATIN AMERICA,7000.0,1700.5,PALEOGENE,SANDSTONE,4350.0,12.65
4147,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,101.0,48.25,DEVONIAN,DOLOMITE,14.0,12.65
4148,OIL,6288.5,EXTENSION,PASSIVE MARGIN,FAR EAST,245.0,140.0,PALEOGENE,SANDSTONE,850.0,41.5
4149,GAS,1320.5,COMPRESSION,FORELAND,MIDDLE EAST,160.0,140.0,PALEOGENE,DOLOMITIC LIMESTONE,1.305,10.15
4150,OIL,5153.499999999999,COMPRESSION,SUB-THRUST,NORTH AMERICA,7000.0,1700.5,DEVONIAN,SHALE,14.0,10.15
4151,OIL,5153.499999999999,EXTENSION,RIFT,EUROPE,1152.0,140.0,JURASSIC,SANDSTONE,75.0,15.0
4152,GAS,6288.5,COMPRESSION,FORELAND,MIDDLE EAST,1152.0,48.25,PALEOGENE,LIMESTONE,14.0,15.0
4153,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,48.25,CRETACEOUS,SANDSTONE,161.0,22.75
4154,OIL,4089.999999999999,INVERSION,INVERSION,FORMER SOVIET UNION,101.0,11.5,JURASSIC,SANDSTONE,850.0,26.25
4155,OIL,7513.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,46.5,11.5,CARBONIFEROUS,DOLOMITE,35.0,17.5
4156,OIL,7513.5,COMPRESSION,FORELAND,NORTH AMERICA,1152.0,1700.5,PERMIAN,LIMESTONE,1.305,5.05
4157,GAS,6288.5,INVERSION,RIFT,FAR EAST,676.9999999999999,101.5,PALEOGENE,SANDSTONE,14.0,5.05
4158,GAS,8763.5,GRAVITY,DELTA,NORTH AMERICA,345.0,29.75,NEOGENE,SANDSTONE,361.0,22.75
4159,GAS-CONDENSATE,10170.0,STRIKE-SLIP,WRENCH,FAR EAST,676.9999999999999,101.5,JURASSIC,SANDSTONE,850.0,41.5
4160,GAS,2960.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,160.0,48.25,CARBONIFEROUS,DOLOMITE,1.305,10.15
4161,GAS,15389.0,TRANSTENSION,WRENCH,FAR EAST,160.0,29.75,NEOGENE,SANDSTONE,4350.0,41.5
4162,GAS-CONDENSATE,7513.5,STRIKE-SLIP,WRENCH,LATIN AMERICA,345.0,29.75,PALEOGENE,SANDSTONE,161.0,20.0
4163,OIL,2960.5,EXTENSION,RIFT,EUROPE,475.0,337.5,TRIASSIC,SANDSTONE,161.0,20.0
4164,GAS-CONDENSATE,10170.0,EXTENSION,INTRACRATONIC,EUROPE,345.0,71.5,TRIASSIC,SANDSTONE,161.0,10.15
4165,OIL,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,46.5,11.5,CARBONIFEROUS,LIMESTONE,14.0,15.0
4166,OIL,8763.5,GRAVITY,SALT,MIDDLE EAST,160.0,48.25,JURASSIC,LIMESTONE,361.0,26.25
4167,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,48.25,PERMIAN,LIMESTONE,75.0,15.0
4168,OIL,7513.5,INVERSION,SALT,EUROPE,345.0,71.5,JURASSIC,SANDSTONE,4350.0,41.5
4169,OIL,5153.499999999999,INVERSION,INVERSION,LATIN AMERICA,1152.0,1700.5,CRETACEOUS,CONGLOMERATE,161.0,22.75
4170,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,46.5,29.75,DEVONIAN,SANDSTONE,75.0,20.0
4171,GAS,10170.0,COMPRESSION,THRUST,NORTH AMERICA,101.0,71.5,NEOGENE,SANDSTONE,850.0,41.5
4172,OIL,4089.999999999999,EXTENSION,INTRACRATONIC,EUROPE,475.0,11.5,CRETACEOUS,CHALK,1.305,12.65
4173,OIL,1320.5,GRAVITY,SALT,NORTH AMERICA,101.0,11.5,CRETACEOUS,SANDSTONE,161.0,17.5
4174,OIL,6288.5,COMPRESSION,WRENCH,NORTH AMERICA,7000.0,140.0,NEOGENE,THINLY-BEDDED SANDSTONE,361.0,17.5
4175,GAS,7513.5,INVERSION,INVERSION,FORMER SOVIET UNION,345.0,205.0,JURASSIC,SANDSTONE,75.0,15.0
4176,GAS-CONDENSATE,10170.0,INVERSION,FORELAND,NORTH AMERICA,245.0,29.75,PERMIAN,SANDSTONE,4350.0,41.5
4177,OIL,4089.999999999999,COMPRESSION,SALT,MIDDLE EAST,7000.0,140.0,CRETACEOUS,CHALKY LIMESTONE,1.305,41.5
4178,OIL,2960.5,UPLIFT,INTRACRATONIC,NORTH AMERICA,1152.0,337.5,TRIASSIC,SANDSTONE,75.0,22.75
4179,OIL,4089.999999999999,COMPRESSION,THRUST,NORTH AMERICA,160.0,11.5,CARBONIFEROUS,SANDSTONE,4350.0,41.5
4180,OIL,7513.5,COMPRESSION,SALT,MIDDLE EAST,160.0,29.75,PERMIAN,DOLOMITE,35.0,17.5
4181,GAS,5153.499999999999,INVERSION,SUB-SALT,EUROPE,160.0,140.0,PERMIAN,SANDSTONE,161.0,17.5
4182,GAS-CONDENSATE,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,101.5,PERMIAN,DOLOMITE,35.0,10.15
4183,GAS,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,101.0,29.75,PERMIAN,LIMESTONE,161.0,26.25
4184,OIL,1320.5,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,676.9999999999999,1700.5,JURASSIC,DOLOMITE,5.3,12.65
4185,OIL,6288.5,COMPRESSION,SUB-THRUST,NORTH AMERICA,160.0,71.5,CRETACEOUS,SANDSTONE,1.305,15.0
4186,OIL,2960.5,EXTENSION,RIFT,EUROPE,1152.0,337.5,JURASSIC,SANDSTONE,161.0,26.25
4187,GAS,15389.0,COMPRESSION,WRENCH,LATIN AMERICA,1152.0,205.0,NEOGENE,SANDSTONE,75.0,10.15
4188,OIL,10170.0,INVERSION,SUB-SALT,EUROPE,1152.0,1700.5,PERMIAN,SANDSTONE,35.0,5.05
4189,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,101.0,29.75,PERMIAN,SANDSTONE,1.305,41.5
4190,OIL,1320.5,COMPRESSION,INTRACRATONIC,NORTH AMERICA,1152.0,337.5,ORDOVICIAN,DOLOMITE,5.3,12.65
4191,OIL,7513.5,INVERSION,RIFT,EUROPE,676.9999999999999,140.0,JURASSIC,SANDSTONE,850.0,12.65
4192,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,101.5,JURASSIC,SANDSTONE,4350.0,41.5
4193,GAS,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,29.75,PERMIAN,SANDSTONE,35.0,15.0
4194,OIL,15389.0,INVERSION,RIFT,AFRICA,475.0,140.0,CRETACEOUS,LIMESTONE,75.0,20.0
4195,GAS,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,48.25,CRETACEOUS,SANDSTONE,75.0,12.65
4196,OIL,4089.999999999999,EXTENSION,RIFT,EUROPE,345.0,29.75,JURASSIC,THINLY-BEDDED SANDSTONE,75.0,17.5
4197,OIL,6288.5,COMPRESSION,FORELAND,FAR EAST,160.0,48.25,JURASSIC,SANDSTONE,361.0,20.0
4198,OIL,8763.5,COMPRESSION,FORELAND,NORTH AMERICA,345.0,11.5,DEVONIAN,DOLOMITE,14.0,15.0
4199,OIL,2960.5,EXTENSION,RIFT,FAR EAST,7000.0,140.0,PALEOGENE,SANDSTONE,75.0,20.0
4200,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,160.0,48.25,DEVONIAN,LIMESTONE,5.3,15.0
4201,GAS,6288.5,INVERSION,SUB-SALT,EUROPE,46.5,29.75,PERMIAN,SANDSTONE,75.0,12.65
4202,OIL,6288.5,INVERSION,INVERSION,FAR EAST,7000.0,140.0,NEOGENE,LOW-RESISTIVITY SANDSTONE,14.0,12.65
4203,GAS,15389.0,COMPRESSION,THRUST,NORTH AMERICA,46.5,48.25,CARBONIFEROUS,LIMESTONE,850.0,17.5
4204,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,48.25,CARBONIFEROUS,SANDSTONE,850.0,17.5
4205,OIL,2960.5,COMPRESSION,FORELAND,NORTH AMERICA,475.0,337.5,PERMIAN,DOLOMITE,5.3,26.25
4206,GAS-CONDENSATE,8763.5,INVERSION,BACKARC,FAR EAST,676.9999999999999,337.5,NEOGENE,LIMESTONE,850.0,17.5
4207,OIL,5153.499999999999,COMPRESSION,INTRACRATONIC,FORMER SOVIET UNION,101.0,101.5,CRETACEOUS,SANDSTONE,161.0,22.75
4208,OIL,8763.5,EXTENSION,RIFT,FAR EAST,676.9999999999999,1700.5,CRETACEOUS,GLAUCONITIC SANDSTONE,850.0,26.25
4209,GAS,15389.0,COMPRESSION,FORELAND,NORTH AMERICA,160.0,48.25,CRETACEOUS,SANDSTONE,4350.0,41.5
4210,OIL,2960.5,INVERSION,INVERSION,FAR EAST,676.9999999999999,101.5,NEOGENE,SANDSTONE,850.0,41.5
4211,GAS,1320.5,STRIKE-SLIP,WRENCH,LATIN AMERICA,1152.0,337.5,NEOGENE,SANDSTONE,850.0,17.5
4212,OIL,6288.5,INVERSION,RIFT,EUROPE,345.0,337.5,CRETACEOUS,DOLOMITE,5.3,20.0
4213,OIL,2960.5,INVERSION,INTRACRATONIC,FAR EAST,1152.0,1700.5,CRETACEOUS,SANDSTONE,4350.0,41.5
4214,OIL,4089.999999999999,INVERSION,INVERSION,EUROPE,245.0,140.0,CRETACEOUS,CHALK,1.305,10.15
4215,OIL,10170.0,EXTENSION,RIFT,AFRICA,676.9999999999999,140.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,361.0,20.0
4216,GAS,10170.0,COMPRESSION,THRUST,FAR EAST,245.0,29.75,JURASSIC,SANDSTONE,161.0,22.75
4217,GAS-CONDENSATE,10170.0,COMPRESSION,WRENCH,NORTH AMERICA,676.9999999999999,140.0,NEOGENE,SANDSTONE,361.0,22.75
4218,GAS,5153.499999999999,COMPRESSION,FORELAND,NORTH AMERICA,160.0,11.5,DEVONIAN,LIMESTONE,161.0,17.5
4219,GAS,10170.0,COMPRESSION,FORELAND,NORTH AMERICA,676.9999999999999,1700.5,CRETACEOUS,SANDSTONE,4350.0,41.5
4220,OIL,1320.5,COMPRESSION,FORELAND,NORTH AMERICA,101.0,29.75,PERMIAN,LIMESTONE,14.0,5.05
4221,OIL,4089.999999999999,COMPRESSION,FORELAND,NORTH AMERICA,101.0,101.5,DEVONIAN,SANDSTONE,35.0,17.5
